this_year_bycond,this_year_descrip_e,this_year_descrip_f,last_year_bycond,last_year_descrip_e,last_year_descrip_f
LEVEL4ID = 432,Abroad Cluster 3: KYUSHU / NGOYA / OSAKA / SEOUL / TAPEI / TOKYO / ULAAN,À l'étranger groupement 3 : KYUSHU / NGOYA / OSAKA / SEOUL / TAPEI / TOKYO / ULAAN,LEVEL3ID = 341,OPD - Trade & Diplomacy North Asia,OPD - Asie du nord
LEVEL4ID = 433,Canada: PED - International Economic Policy,Canada : PED - Politiques économiques internationales,NA,NA,NA
LEVEL4ID = 434,Abroad: POECD,À l'étranger : POECD,NA,NA,NA
LEVEL4ID = 435,Canada: WED - Southern and Eastern Africa Bureau,Canada : WED - Direction générale de l’Afrique australe et de l’Est,NA,NA,NA
LEVEL4ID = 436,Abroad Cluster 1: ADDIS / JBURG / KGALI / NROBI / PRET,À l'étranger groupement 1 : ADDIS / JBURG / KGALI / NROBI / PRET,NA,NA,NA
LEVEL4ID = 437,Abroad Cluster 2: DSLAM / HRARE / JUBA / KHRTM / LSAKA / MPUTO,À l'étranger groupement 2 : DSLAM / HRARE / JUBA / KHRTM / LSAKA / MPUTO,NA,NA,NA
LEVEL4ID = 438,Canada: WWD - West and Central Africa Bureau,Canada : WWD - Direction générale de l’Afrique de l’Ouest et du Centre,NA,NA,NA
LEVEL4ID = 439,Abroad Cluster 1: ABUJA / ACCRA / DAKAR / LAGOS,À l'étranger groupement 1 : ABUJA / ACCRA / DAKAR / LAGOS,NA,NA,NA
LEVEL4ID = 440,Abroad Cluster 1: ABDJN / BMAKO / CTONU / KNSHA / OUAGA / YUNDE,À l'étranger groupement 1 : ABDJN / BMAKO / CTONU / KNSHA / OUAGA / YUNDE,NA,NA,NA
NA,NA,NA,LEVEL3ID = 300,"ACM - ADM Office / ABD - Platform Planning, Engagement and Results / ACME - Major Projects - Tokyo / AFD - Client Relations and Mission Operations","ACM - Bureau du SMA / ABD - Planification, mobilisation et résultats de la plateforme / ACME - Projets majeurs - Tokyo / AFD - Relations avec les clients et opérations des missions"
NA,NA,NA,LEVEL3ID = 302,"AWD - Delivery, Professional & Technical Services","AWD - Livraison, services professionnels et techniques"
NA,NA,NA,LEVEL2ID = 201,BFM - International Business Investment and Innovation,"BFM - Développement du commerce international, investissement et innovation"
NA,NA,NA,LEVEL3ID = 304,"BFM - ADM Office / BED - Trade Analysis / BID - Investment, Innovation and Education / BPD - Trade Portfolio Strategy and Coordination","BFM - Bureau du SMA / BED - Analyse du commerce / BID - Investissement, innovation et éducation / BPD - Stratégie et coordination du portefeuille commercial"
NA,NA,NA,LEVEL3ID = 305,BTD - Trade Commissioner Service - Operations,BTD - Service des délégués commerciaux - Opérations
NA,NA,NA,LEVEL2ID = 202,"CFM - Consular, Security and Emergency Management","CFM - Services consulaires, sécurité et gestion des mesures d'urgence"
NA,NA,NA,LEVEL3ID = 308,CFM - ADM Office / CBMO - Business Management Office / CFH - Health Incident Task Force / CND - Consular Operations / CPD - Consular Policy Bureau,CFM - Bureau du SMA / CBMO - Bureau de la gestion des activités / CFH - Groupe de travail sur les incidents de santé / CND - Opérations consulaires / CPD - Bureau des politiques consulaires
NA,NA,NA,LEVEL3ID = 310,"MINA - Minister of Foreign Affairs / MINE - International Development / MINT - Minister of International Trade / USS - Deputy Minister of Foreign Affairs / DMA - Associate DM of Foreign Affairs / DME - Deputy Minister of International Development / DMT - Deputy Minister of International Trade / DMX - Coord, International Economic Relations","MINA - Ministre des Affaires étrangères / MINE - Développement international / MINT - Ministre du Commerce international / USS - Sous-ministre des Affaires étrangères / DMA - Sous-ministre délégué des Aff étrangères / DME - Sous-ministre du Développement international / DMT - Sous-ministre du Commerce international / DMX - Coord, Relations Économiques Int`l"
NA,NA,NA,LEVEL2ID = 204,DCD - Corporate Secretary,DCD - Secrétaire des services intégrés
NA,NA,NA,LEVEL3ID = 311,DCD - Corporate Secretary Office / DCB - Executive Briefing Division / DCC - Ministerial Correspondence / DCL - Cabinet and Parliamentary Affairs Division / MINL - Departmental Liaison Unit,DCD - Secrétaire des services intégrés / DCB - Direction du breffage de la haute direction / DCC - Correspondance ministérielle / DCL - Direction des relations avec le Cabinet et le Parlement / MINL - Unité de Liaison ministérielle
NA,NA,NA,LEVEL3ID = 312,DCP - Access to Information and Privacy,DCP - Accès à l'information et protection des renseignements personnels
NA,NA,NA,LEVEL3ID = 313,DSMX - ADM Office / DSMO - Director General Planning / DSMP - Director General Programs / DWD - Director General Expo Dubaï 2020,DSMX - Bureau du SMA / DSMO - Directeur général de la planification / DSMP - Directeur général des programmes / DWD - Directeur Général Expo Dubaï 2020
NA,NA,NA,LEVEL3ID = 314,"EGM - ADM Office / ECD - Office of the Senior Arctic Official and DG of Arctic, Eurasian and European Affairs","EGM - Bureau du SMA / ECD - Bureau de le Haute Représentante pour l'Arctique et DG, affaires arctiques, de l'Eurasie et de l'Europe / EGM - Bureau du SMA"
NA,NA,NA,LEVEL2ID = 209,IFM - International Security and Political Affairs,IFM - Sécurité internationale et affaires politiques
NA,NA,NA,LEVEL3ID = 324,"IFM - ADM Office / ICD - Bureau for International Crime and Terrorism / IOD - Office of Human Rights, Freedoms and Inclusion","IFM - Bureau du SMA / ICD - Bureau du crime international et du terrorisme / IOD - Bureau de les droits de la personne, des libertés et de l'inclusion"
NA,NA,NA,LEVEL3ID = 327,IND - Foreign Intelligence Bureau,IND - Direction générale des renseignements extérieures
NA,NA,NA,LEVEL2ID = 210,"DPD - Internationall Assistance Operations / JUS - GAC Legal Services / VBD - Office of the Chief Audit Executive / WPSA - Ambassador for Women, Peace and Security / ZID - Inspection, Integrity and Values & Ethics","DPD - Opérations d'aide internationale / JUS - Services juridiques AMC / VBD - Bureau du dirigeant princ.de l'audit / WPSA - Ambassadrice pour les femmes, la paix et la sécurité / ZID - Direction générale de l'inspection, de l'intégrité, des valeurs et de l'éthique"
NA,NA,NA,LEVEL3ID = 328,"DPD - Int'l Assistance Operations Bureau / JUS - GAC Legal Services / VBD - Office of the Chief Audit Executive / WPSA - Ambassador for Women, Peace and Security / ZID - Inspection, Integrity and Values & Ethics Bureau","DPD - Opérations d'aide internationale / JUS - Services juridiques AMC / VBD - Bureau du dirigeant princ.de l'audit / WPSA - Ambassadrice pour les femmes, la paix et la sécurité / ZID - Direction générale de l'inspection, de l'intégrité, des valeurs et de l'éthique"
NA,NA,NA,LEVEL2ID = 211,JFM - Legal Adviser,JFM - Juriconsulte
NA,NA,NA,LEVEL3ID = 329,JLD - Legal Affairs (Deputy Legal Adviser) / JLT - Trade Law (Deputy Legal Adviser),JLD - Affaires juridiques (Jurisconsulte adjoint) / JLT - Droit commercial (Jurisconsulte adjoint)
NA,NA,NA,LEVEL2ID = 212,KFM - Partnerships for Development,KFM - Partenariats pour l'innovation dans le développement
NA,NA,NA,LEVEL3ID = 330,"KFM - ADM Office / KED - Engaging Canadians / KGD - Inc. Growth, Governance & Innovation / KSD - Canadian Part. for Health & Social / KWD - Partnership for Gender Equality","KFM - Bureau du SMA / KED - Mobilisation des Canadiens / KGD - Part. croissance, gouv. & Innovation / KSD - Part. can. pour la santé & dév. soc / KWD - Partenariat pour l'égalité des genres"
NA,NA,NA,LEVEL3ID = 331,LCM - ADM Office / LBMO - Business Management Office for Public Affairs and Special Bureaux / LCA - Development / LCC - Trade / LCD - Strategic Communications,LCM - Bureau du SMA / LBMO - Bureau de la gestion des activités des affaires publiques et bureaux spéciaux / LCA - Développement / LCC - Commerce / LCD - Communications stratégiques
NA,NA,NA,LEVEL2ID = 214,MFM - Global Issues and Development,MFM - Enjeux mondiaux et du développement
NA,NA,NA,LEVEL3ID = 333,MFM - ADM Office / MED - Economic Development / MFMA - Business Management & Administration Unit / MFMZ - Business Intelligence Unit / MHD - International Humanitarian Assistance / MLD - Innovative and Climate Finance Bureau,MFM - Bureau du SMA / MED - Développement économique / MFMA - Unité de gestion et d'administration / MFMZ - Unité d'intelligence d'affaires / MHD - Assistance humanitaire internationale / MLD - Direction du financement innovant et climatique
NA,NA,NA,LEVEL3ID = 334,MGD - Social Development / MND - Health and Nutrition / MSD - Food Security and Environment,MGD - Développement social / MND - Santé et de la nutrition / MSD - Sécurité alimentaire et de l'environnement
NA,NA,NA,LEVEL3ID = 336,NGM - ADM Office / NGD - North America Strategy Bureau / NMD - Geographic Coordination and Mission Support Bureau,NGM - Bureau du SMA / NGD - Direction générale de la Stratégie pour l'Amérique du nord / NMD - Direction générale de la coordination géographique et appui aux missions
NA,NA,NA,LEVEL3ID = 337,NND - North America Advocacy and Commercial Programs,NND - Promotion des intérêts et programmes commerciaux de l'Amérique du Nord
NA,NA,NA,LEVEL2ID = 217,PFM - Strategic Policy,PFM - Politiques stratégiques
NA,NA,NA,LEVEL3ID = 343,PFM - ADM Office / PED - International Economic Policy / POD - Foreign Policy / PRD - Evaluation and Results Bureau / PVD - International Assistance Policy,PFM - Bureau du SMA / PED - Politiques économiques internationales / POD - Politique étrangère / PRD - Bureau de l'évaluation et résultats / PVD - Politique d'aide internationale
NA,NA,NA,LEVEL2ID = 218,"SCM - Corporate Planning, Finance and Information Technology","SCM - Planification ministérielle, finance et technologie de l'information"
NA,NA,NA,LEVEL3ID = 344,"SCM - ADM Office / SED - Export & import controls system / SPD - Procurement, Asset Management / SRD - Corporate Planning and Reporting",SCM - Bureau du SMA / SED - Système contrôle de l'import-export / SPD - Approvisionnement et gestion de l'actif / SRD - Planification ministérielle et rapports
NA,NA,NA,LEVEL2ID = 219,TFM - Trade Policy and Negotiations,TFM - Politique et négociations commerciales
NA,NA,NA,LEVEL3ID = 349,TFM - ADM Office / TFMA - Associate ADM / TFMU - Corporate Administrative Services / TMD - Chief Air Negotiator / Intellectual Property and Services Trade / TPD - Market Access,TFM - Bureau du SMA / TFMA - SMA déléguée / TFMU - Services administratifs ministériels / TMD - Négociateur en chef des accords aériens / Propriété intellectuelle et services commerciaux / TPD - Accès aux marchés
NA,NA,NA,LEVEL3ID = 350,TCD - Trade Negotiations / TND - North American Trade Policy and Negotiations Bureau,TCD - Négociations commerciales / TND - Bureau de la politique commerciale et négociations en Amérique du Nord
NA,NA,NA,LEVEL3ID = 351,TID - Trade and Export Controls,TID - Réglementation commerciale et contrôles à l'exportation
NA,NA,NA,LEVEL3ID = 352,WGM - ADM Office / WFD - Pan-Africa Bureau / WWD - West and Central Africa Bureau,WGM - Bureau du SMA / WFD - Direction générale panafricaine / WWD - Direction générale de l'Afrique de l'Ouest et du Centre
NA,NA,NA,LEVEL3ID = 353,WED - Southern and Eastern Africa Bureau,WED - Direction générale de l'Afrique australe et de l'Est
NA,NA,NA,LEVEL3ID = 354,"Office of the Chief of Protocol / XDC - Diplomatic Corps Services / XDE - Summits, Official Events & Management Services / XDV - Official Visits","Bureau du Protocole / XDC - Service du Corps Diplomatique / XDE - Sommets, événements officiels et services des gestion / XDV - Visites officielles"
NA,NA,NA,LEVEL2ID = 999,I cannot find my organizational unit,Je ne peux pas trouver mon unité organisationnelle
NA,Global Affairs Canada,Affaires mondiales Canada,NA,Global Affairs Canada,Affaires mondiales Canada
NA,Public Service,Fonction publique,NA,Public Service,Fonction publique
